"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000000003",1217.94964727493,-0.0955768997857221,0.087327604076877,-1.09446378148178,0.273751623778161,0.613846804947771
"ENSG00000000005",38.6885636126504,0.12843068594041,0.608052500495697,0.211216442388956,0.832718381000468,0.943297575521835
"ENSG00000000419",1200.05087414182,0.00379721136868303,0.0840604435396605,0.0451723927306125,0.963969899189629,0.989123604179518
"ENSG00000000457",313.185632155011,-0.0165366571260125,0.161725753927967,-0.10225122916031,0.918557265816812,0.975187679674859
"ENSG00000000460",859.240895992454,0.0546669891428382,0.113488490208631,0.481696329225468,0.630021684107032,0.862369083708282
"ENSG00000000971",47.8475712608792,-0.200805268884427,0.433711874308157,-0.462992324581255,0.643369868757739,0.868511013833238
"ENSG00000001036",2811.01788645307,0.0291794124808917,0.0632260117088909,0.461509617516938,0.644433022914945,0.868741609229257
"ENSG00000001084",857.728285853346,-0.0829537798152998,0.202557997099913,-0.409531003480362,0.682150019257802,0.885262103643552
"ENSG00000001167",862.834071827633,0.222949417741531,0.122786443228805,1.81574945799251,0.0694088135204419,0.309242471222655
"ENSG00000001460",77.5443989726913,0.233743647961404,0.459342873974902,0.508865296937589,0.610846646223021,0.852907380532072
"ENSG00000001461",1105.31839371805,-0.0117355373311308,0.114979158127379,-0.102066648619305,0.918703773273549,0.975187679674859
"ENSG00000001497",2612.54132329277,0.162553445105832,0.0560838717217475,2.89839913179174,0.00375072934053174,0.0474900464801171
"ENSG00000001617",77.4498388012585,-0.701908977481069,0.332073781826634,-2.11371392712815,0.0345397082595485,0.206194342474545
"ENSG00000001629",2886.58439796552,0.0891547234486841,0.102233318067038,0.872071112767974,0.383169584057423,0.710411081880153
"ENSG00000001630",3596.75500696156,-0.136161457923689,0.0543774072439261,-2.50400791109617,0.0122795288478058,0.104535444003393
"ENSG00000001631",1480.31664025646,0.23852136789775,0.0775088691641414,3.07734289598046,0.00208854898546767,0.0311431445546377
"ENSG00000002016",230.274719063447,0.0133562020163854,0.194794919529129,0.068565453599462,0.94533551815932,0.983146294571322
"ENSG00000002330",625.901561636357,0.057694513449404,0.147703583241046,0.390610113738738,0.696085448746949,0.891633239913151
"ENSG00000002549",2364.80865033273,0.0962499300433601,0.0743132358950802,1.29519228821164,0.195253904476851,0.526953557250495
"ENSG00000002587",58.8736956553225,-0.00346401547127756,0.575975176626449,-0.00601417493643856,0.995201411599996,0.998960669023422
"ENSG00000002726",2420.20667622247,0.0426988507436524,0.103186563299534,0.413802431036536,0.679018803448573,0.884549148353415
"ENSG00000002822",544.68989934894,0.273820890078978,0.170110319454949,1.60966654437149,0.107470672381427,0.396590501813222
"ENSG00000002834",4154.71498696713,-0.0782062023859972,0.0790552454442721,-0.989260130007776,0.322535885638369,0.659937184411549
