"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000000003",1217.94964727493,-0.336674999482027,0.0596714807200918,-5.64214253474468,1.67946970060559e-08,8.12138166766606e-08
"ENSG00000000005",38.6885636126504,3.21211035216749,0.405129324311168,7.92860491555126,2.21621383109815e-15,1.84707392527751e-14
"ENSG00000000419",1200.05087414182,-0.159906486745675,0.0572041852138448,-2.79536341874115,0.00518414019613737,0.0118638610675617
"ENSG00000000457",313.185632155011,-0.172790541227323,0.11160919308014,-1.54817480942857,0.121580214610374,0.192908709270119
"ENSG00000000460",859.240895992454,0.486513444915353,0.0777516204076596,6.25727724212709,3.91756630178314e-10,2.21291039400549e-09
"ENSG00000000971",47.8475712608792,0.630406133630191,0.298886768390401,2.10918046665339,0.0349290073057982,0.0654619524486469
"ENSG00000001036",2811.01788645307,0.299262582193528,0.0438888660516052,6.81864466130545,9.19034040461639e-12,5.98355348022804e-11
"ENSG00000001084",857.728285853346,-0.389762637764245,0.142587296340105,-2.73350184601696,0.0062664772074455,0.0140672992656561
"ENSG00000001167",862.834071827633,-0.507251250389799,0.0846950809137855,-5.98914653504081,2.10945043909565e-09,1.12385554117263e-08
"ENSG00000001460",77.5443989726913,0.41853538817675,0.321287005078779,1.302683835825,0.192682722747506,0.282988326311521
"ENSG00000001461",1105.31839371805,0.277893642050344,0.0803083343606689,3.4603337780897,0.000539506201358863,0.0014759315537429
"ENSG00000001497",2612.54132329277,-0.0698259532279007,0.0381669790586106,-1.82948598370003,0.0673268371525145,0.116105351626346
"ENSG00000001617",77.4498388012585,-0.865656456756256,0.227053904136445,-3.81255922486165,0.000137535258757323,0.000412810556110058
"ENSG00000001629",2886.58439796552,0.192704542726644,0.0718299805877968,2.68278706397677,0.00730114612525585,0.0161405871915012
"ENSG00000001630",3596.75500696156,-0.0996123474843536,0.0382983094034048,-2.60095939053378,0.00929634578586585,0.020032358162568
"ENSG00000001631",1480.31664025646,0.127563999822585,0.0533960568057762,2.38901535906647,0.0168935960969647,0.0343603259245492
"ENSG00000002016",230.274719063447,-0.311893083315711,0.134740320389374,-2.31477172099933,0.0206254283238492,0.0410396400467263
"ENSG00000002330",625.901561636357,0.0278104109761187,0.103261392083018,0.269320511907879,0.78768304891438,0.849639791976604
"ENSG00000002549",2364.80865033273,0.491791861066301,0.0514675535054998,9.55537669016555,1.23135145682664e-21,1.45800329987102e-20
"ENSG00000002587",58.8736956553225,1.11130838630811,0.405188920793118,2.74269193770853,0.00609378248783301,0.0137350706053505
"ENSG00000002726",2420.20667622247,0.872126110020974,0.0708641284847457,12.307018073449,8.30347079597021e-35,1.71021805270258e-33
"ENSG00000002822",544.68989934894,0.0310698157700815,0.11899055248114,0.261111618714486,0.794006431971719,0.853548975363812
"ENSG00000002834",4154.71498696713,-0.11158797404151,0.0553919827512347,-2.01451489004558,0.0439555031612332,0.0799628200204408
"ENSG00000002919",418.255597297663,-0.395287815930144,0.115557712565271,-3.42069609336435,0.000624610879251978,0.00169267344138744
"ENSG00000002933",42.2454354315408,-1.16343995996097,0.297761855393935,-3.90728341755447,9.33396445931817e-05,0.00028644880082859
"ENSG00000003056",3165.25462018245,0.00654239624768142,0.0464648151455691,0.140803234171595,0.888025388022926,0.922816253150701
"ENSG00000003096",3156.04220442401,0.00404574215354905,0.0551933107859061,0.0733013130747387,0.941566346830413,0.960202382403824
"ENSG00000003137",48.5738467244725,1.71539715909779,0.269100106267151,6.37456886544228,1.83478358605132e-10,1.06817778246179e-09
"ENSG00000003147",80.8389399636292,0.760309338388721,0.2138998073199,3.55451156275065,0.000378681860182159,0.00105767273279489
"ENSG00000003249",562.669625001458,-0.596510356227265,0.0795282101592668,-7.50061336766748,6.35198926032298e-14,4.78237772181273e-13
"ENSG00000003393",1280.32220679329,0.287426890645934,0.0780863284951638,3.6808862215072,0.000232424709598267,0.000672102078481488
"ENSG00000003400",85.2966503714138,0.168324400337605,0.220451416222812,0.763544200448582,0.445138912536808,0.55391629957416
"ENSG00000003402",2642.4438781505,0.295200112459916,0.0560353213124932,5.26810778533183,1.37837170854599e-07,6.06852321695908e-07
"ENSG00000003436",433.466651149691,-1.25430928128675,0.119043944347146,-10.5365231987697,5.86263830194333e-26,8.57956151501271e-25
"ENSG00000003509",583.943642669381,-0.312534159083158,0.08041331855525,-3.8865969555581,0.000101659333975534,0.000310562621523666
"ENSG00000003756",2687.52572871459,0.195391130997396,0.0790242207135161,2.47254739411783,0.013415392419932,0.0278514461323691
"ENSG00000003989",254.769591764642,-0.894324035911181,0.134903300128624,-6.62937107586312,3.37120128689603e-11,2.09266216912133e-10
"ENSG00000004059",1863.2529643502,-0.121935783824507,0.0547617467254731,-2.22665986963098,0.0259700143907942,0.0503872018864699
"ENSG00000004139",1210.5284146262,-0.337083161470173,0.0873773418871379,-3.85778686087259,0.00011441835527833,0.000347238392091386
"ENSG00000004142",3057.49622500048,-0.275721429128111,0.0481752354129235,-5.7233021647912,1.04473209191952e-08,5.16663429818647e-08
"ENSG00000004399",3037.26344278877,-0.703871997461199,0.056873843100238,-12.3760231257918,3.52375130255939e-35,7.36107995548902e-34
"ENSG00000004455",4474.10546936514,-0.449532031650252,0.0524508594391665,-8.57053700276593,1.03003580577493e-17,9.93504033476813e-17
"ENSG00000004478",3171.46273863185,-0.577577432388858,0.0584989408303908,-9.87329726299591,5.43481159843266e-23,6.86890334231375e-22
"ENSG00000004487",4153.14646107623,-0.599552701494196,0.0398134095023109,-15.0590644958301,3.01016375648969e-51,1.07400245355994e-49
"ENSG00000004534",2016.12966132225,-0.486208357467453,0.0630314197803847,-7.71374592483415,1.2217758676039e-14,9.69187379087464e-14
"ENSG00000004660",350.004258879164,-1.38232620049504,0.11945986250097,-11.5714698774562,5.74892356470792e-31,1.04054871299713e-29
"ENSG00000004700",2275.58868751149,0.786297543960341,0.0507955204452802,15.479663109415,4.75958732768233e-54,1.82322719319556e-52
"ENSG00000004766",791.679219839068,0.421797065442556,0.0982001326841658,4.29527999518241,1.74472988694401e-05,5.97901803798259e-05
"ENSG00000004776",35.9157527091935,-0.246620403968952,0.34228357399782,-0.720514867507264,0.47120804910072,0.57951439089814
"ENSG00000004777",349.689784081658,0.121142272530331,0.188114087753948,0.643982989135743,0.519586464870338,0.624859874643097
"ENSG00000004779",2023.62844397095,-0.324776841271308,0.0429090118112782,-7.56896576177835,3.76207281150543e-14,2.89046918681029e-13
"ENSG00000004799",496.401978951984,1.54657460625083,0.0912273823975385,16.9529648402206,1.8298861491045e-64,9.05232329037065e-63
"ENSG00000004838",62.8912779963677,0.789832262689695,0.288111351599627,2.74141320119619,0.00611755216534716,0.0137847930376629
"ENSG00000004846",11.6006621652005,0.456796293397649,0.620154749330812,0.736584366870628,0.461375144712156,0.570073318937553
"ENSG00000004848",37.4871770641862,-0.874392960876858,0.390149585350897,-2.24117362598358,0.0250148305312327,0.048721510335761
"ENSG00000004864",1616.40693348538,-0.474001689227699,0.05858806808812,-8.09041336735616,5.94625808813389e-16,5.17793219154078e-15
"ENSG00000004866",515.661443844696,-0.00150365669942825,0.0842885956797556,-0.0178393848812147,0.985766985160835,0.990699267200306
"ENSG00000004897",3349.05945279924,-0.433921930902007,0.0449633256240089,-9.65057466012494,4.88810329151752e-22,5.88286878972411e-21
"ENSG00000004939",18.541032212023,0.497620126855564,0.453397276748937,1.09753664694178,0.272406869918125,0.376025472153522
"ENSG00000004961",1565.83337257137,0.0353523270303977,0.051321020027233,0.688846928834195,0.490919599880341,0.59810080737858
"ENSG00000004975",1307.31685650835,-0.218080472082623,0.0622529713511886,-3.50313354285312,0.000459818871688812,0.00127086528598551
"ENSG00000005007",3679.20032828416,-0.266357193450358,0.0459324170339634,-5.79889347546,6.67539172202911e-09,3.37685201697502e-08
"ENSG00000005020",277.833569734575,-0.491519328289107,0.138982552908419,-3.53655417894784,0.000405383343025996,0.00112814791595863
"ENSG00000005022",10174.279768914,-0.367646766847674,0.0324781168316696,-11.3198301722094,1.0467450107447e-29,1.8210201497605e-28
"ENSG00000005059",1031.24361308041,-0.446583504322664,0.133486208750147,-3.3455404007957,0.000821223943155029,0.00217538450486048
"ENSG00000005075",1023.0029670114,-0.198534680330508,0.0796033215456953,-2.49405020387926,0.0126294680135931,0.026369165025274
"ENSG00000005100",2149.8404427551,-0.57502478819824,0.045013009969877,-12.7746353461599,2.27210055873573e-37,5.20485308391067e-36
"ENSG00000005108",47.3353883415126,-0.964965395923025,0.48154130056367,-2.00390993419148,0.0450797092022578,0.0817313625975055
"ENSG00000005156",1054.28040947369,-1.23832104518346,0.10388148358078,-11.9205175214938,9.2531959964959e-33,1.78287087019701e-31
"ENSG00000005175",1366.60768849072,-0.192311183187322,0.0638522260190911,-3.01181642641281,0.00259689590160287,0.00629397959199722
"ENSG00000005187",12.2664571231839,1.71499859473769,0.703382629332525,2.4382157352466,0.0147599623491431,0.0304041273220885
"ENSG00000005189",310.18042418345,0.925431234454403,0.14053920263644,6.58486185415747,4.55308534701648e-11,2.8015111557167e-10
"ENSG00000005194",1430.80939125091,-0.261684590740616,0.0634373886699786,-4.12508453180477,3.70598616071846e-05,0.000121205513717109
"ENSG00000005206",1701.73313814096,0.298639085453141,0.0738844157035044,4.04197668222172,5.30025043128134e-05,0.000169027365444481
"ENSG00000005238",584.094077960741,0.990296626909912,0.097605225536085,10.1459386162045,3.45441504914277e-24,4.63086878616172e-23
"ENSG00000005243",160.396574304427,0.394848637695233,0.192725777822603,2.04875882280095,0.0404857040814341,0.0744909240982645
"ENSG00000005249",484.172837434325,0.179065087553844,0.0867715403285901,2.06363845652334,0.0390520085249515,0.0721824345537986
"ENSG00000005302",1153.47282789915,-0.00136262171881706,0.0843645258091412,-0.01615159577735,0.987113451393706,0.991663778149024
"ENSG00000005339",2989.92609421952,-0.147872702618146,0.0880737377035941,-1.67896476831494,0.0931589103214182,0.153805666129557
"ENSG00000005436",447.389175459376,-0.681750380302993,0.107020635228131,-6.37027035813919,1.88695277338307e-10,1.0973994726415e-09
"ENSG00000005448",717.414622168876,0.144126740037758,0.0747135951772866,1.92905641464264,0.0537238590607808,0.0954768677330625
"ENSG00000005469",136.996224300825,0.411054998386817,0.215052274631766,1.91141897518019,0.0559507601230245,0.0989600689300303
"ENSG00000005483",2159.33019407505,-0.184747095995426,0.0452446419193037,-4.08329225646062,4.44021235462765e-05,0.000143415390833327
"ENSG00000005486",1748.9808811137,0.489060737215159,0.051716603801104,9.45655169268325,3.18265921155718e-21,3.69523002914202e-20
"ENSG00000005513",93.8483969497717,-1.77650189399605,0.223610246777704,-7.94463545206901,1.94762702480821e-15,1.63165615735491e-14
"ENSG00000005801",917.708485305204,-0.163312860107911,0.0801030715006566,-2.03878399477568,0.0414715903814196,0.0760878655382428
"ENSG00000005810",1957.76239554698,0.0253011067649809,0.102946039694279,0.245770569126488,0.805859840814854,0.862496791400395
"ENSG00000005812",782.446463571489,-0.133501598265549,0.0770735428419659,-1.73213262739569,0.0832499511392824,0.139270950417345
"ENSG00000005844",36.0166148132462,0.259936608548433,0.432250755246514,0.601356054080669,0.547602862168772,0.65026075827964
