"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000000003",1217.94964727493,-0.134742950464554,0.0596123945102331,-2.26031770022967,0.0238015402104285,0.0756642376312594
"ENSG00000000005",38.6885636126504,0.0964805060869214,0.520917873634791,0.185212508477992,0.853062358480074,0.923294460080475
"ENSG00000000419",1200.05087414182,-0.173302991469952,0.0577719437638025,-2.99977774987963,0.00270176667781098,0.0125693823115922
"ENSG00000000457",313.185632155011,0.0385691644020676,0.111161832191971,0.34696409407377,0.72861829383133,0.848320753584824
"ENSG00000000460",859.240895992454,-0.312680708950779,0.081093046077719,-3.85582641267549,0.000115339314564912,0.000831163955523221
"ENSG00000000971",47.8475712608792,0.122564340283002,0.310757921068913,0.39440455728825,0.693282379690553,0.824974425740706
"ENSG00000001036",2811.01788645307,0.00876413172337129,0.0447170612262095,0.195990780320655,0.8446173822928,0.919050380449318
"ENSG00000001084",857.728285853346,0.305989307373054,0.141654985665599,2.16010263200615,0.0307647253238611,0.0924825684305954
"ENSG00000001167",862.834071827633,-0.230545237982267,0.0845691290527049,-2.72611578911481,0.00640845128976132,0.0256165873963108
"ENSG00000001460",77.5443989726913,0.034672641393006,0.328809948060673,0.105448881937745,0.916019630061679,0.959161306250772
"ENSG00000001461",1105.31839371805,0.00694678629520447,0.0814704606906161,0.0852675464986614,0.932048691684796,0.966569802982151
"ENSG00000001497",2612.54132329277,-0.269235904154388,0.0389164731762156,-6.91830174166283,4.5708990548409e-12,1.19518165444504e-10
"ENSG00000001617",77.4498388012585,0.676592871985224,0.211338123890429,3.20147098654104,0.00136727843698593,0.00706332242551271
"ENSG00000001629",2886.58439796552,-0.111391909523417,0.0722266125907715,-1.54225576318458,0.123011454123271,0.266012269541573
"ENSG00000001630",3596.75500696156,0.449161310196484,0.0376036213637144,11.9446291050548,6.92586218753882e-33,8.24343821009621e-31
"ENSG00000001631",1480.31664025646,-0.0730295162522269,0.0544107519740355,-1.34218906379159,0.179534701516704,0.347530222373864
"ENSG00000002016",230.274719063447,0.186606438442053,0.133053086135286,1.40249613039651,0.1607671452281,0.322193852358292
"ENSG00000002330",625.901561636357,0.0960828903774128,0.103476818423395,0.928545077451754,0.353124896382268,0.54996254667386
"ENSG00000002549",2364.80865033273,-0.149897926377729,0.0529739544972712,-2.82965332303917,0.00465984664943385,0.0197125955218302
"ENSG00000002587",58.8736956553225,0.765894263762575,0.41803652421941,1.83212283948804,0.0669331213132689,0.168719013088229
"ENSG00000002726",2420.20667622247,-0.897487652456657,0.0739293194001925,-12.1398067740675,6.49793020647274e-34,7.85985411478873e-32
"ENSG00000002822",544.68989934894,-0.100474243102687,0.119963484788428,-0.837540217174308,0.402288980724609,0.596081610917312
"ENSG00000002834",4154.71498696713,-0.0085789229993579,0.055364342833372,-0.154953938949073,0.87685763000133,0.934940296023793
"ENSG00000002919",418.255597297663,0.0211451601716186,0.114266100933123,0.185051909524719,0.853188320692778,0.923294460080475
"ENSG00000002933",42.2454354315408,-0.52364459857644,0.294061696949849,-1.78073038416066,0.0749565069514502,0.184026882908197
"ENSG00000003056",3165.25462018245,0.100326919948805,0.0465631191209704,2.1546434569419,0.0311897456222879,0.0934624441829607
"ENSG00000003096",3156.04220442401,-0.402810911188726,0.0560178447176369,-7.19076060885833,6.44313666274476e-13,1.85417770344906e-11
"ENSG00000003137",48.5738467244725,-2.46107787949098,0.434476661743374,-5.66446508223409,1.47483890026732e-08,2.39810417029258e-07
"ENSG00000003147",80.8389399636292,0.681306203609624,0.212426109237212,3.20726207365038,0.00134004856847863,0.00693952057146715
